slot,block_time,tx_signature,token_mint_a,token_mint_b,token_vault_a,token_vault_b,num_swaps,token_amount_a,token_amount_b,pre_balance_a,pre_balance_b,post_balance_a,post_balance_b,decimals_a,decimals_b,token_price_a,token_price_b,token_ema_a,token_ema_b
372557403,1760144494,3LJfTbF6CD5xTWzrzHDvY3Adx3F68DyEe3MJbniEQNMJ9fakihNdHsgHYXajHQJksUHrjVsZX6gdRJFrYQ1o9J2G,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17052680.746507,11452163.544149,17052687.245373,11452157.046665,6,6,0.99949518,0.99980253,0.99893434,0.99985678
372557362,1760144478,5SMKvuFVeXY5ssEwJKtFoVyb7mXBhwvk9p2Ti6qD6KVnStwsyVhJ5oKbqx2Q9WbqHtszBTG6nqAf2vAeradNtuvr,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,0.0,0.0,0.0,0.0,0,0,0.99949806,0.99981061,0.99893139,0.99985701
372557327,1760144464,47je1ZBBeM4cbRSWVYHjr7MVUnYbjNS8W9RtWipzCtqu8ari9TH6VaWPxBbSpoy5mJpNYwCwxtzzofZoWCTyUhPv,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17052673.966918,11452170.322296,17052680.746507,11452163.544149,6,6,0.99950605,0.9998087800000001,0.99892882,0.99985713
372557310,1760144457,3FTKadoHfybZ3PCU151rPR82CoF9Fgvvkh7F8T2Tfm8y8Gnhc9tcr1PiPeDaDBuTvMhfpupgtQaNeskDpeP9gzJL,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17052667.188942,11452177.09883,17052673.966918,11452170.322296,6,6,0.99950201,0.99983253,0.99892755,0.9998572
372557183,1760144407,Dceo6gKZXHa5DqhjHxhePeQMNpNNx7NKq7sbnTX3B9fRwPC5eXWnqLm3HQQ7en5JC6zEfNbGDjb1P6bwU73DdR5,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17052647.863735,11452196.419927,17052667.188942,11452177.09883,6,6,0.99949931,0.99981102,0.99891806,0.99985785
372557136,1760144388,5NHscm56DGS6DUyVTq3XvoMZVoUZU8ftZevBdmKv7Ga2y56HpoFpR5Ns5vGV9tSkX342F4PhkgBNsakh1rzPLBZk,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,16914647.855698,11590167.949004,17052647.863735,11452196.419927,6,6,0.9994924900000001,0.99980102,0.9989143500000001,0.99985813
372557114,1760144380,2xxaV1szHBS25xzcBDhy7pD5gedJYQAk9CDpk2kVEj13iHxoQzzRQsJs9DYk6NbC2bB3zPN6TqBLgHNxv5GdgLhE,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,0.0,0.0,0.0,0.0,0,0,0.99950019,0.9998006500000001,0.99891271,0.99985824
372557009,1760144338,zFqL9Hacj545bAF1QF6RF51VHAvhdme2Sb471SyJczL8LndfGhaJVv3ZjyxeSyA247riVzSFVGUn6cyvb6yzYPp,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,16892647.856022,11612163.568245,16914647.855698,11590167.949004,6,6,0.99949011,0.99979946,0.9989047600000001,0.99985894
372556975,1760144325,4ZEZ3ZCBvRANXcdva5xC4jqAF71euuNbBVDPEPwgcJHFhsSYjyYnnQC5tHZef1Tr3cJhBb4G7GepVJBs4qN9xhHF,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,16892614.204365,11612197.213234,16892647.856022,11612163.568245,6,6,0.999486,0.99979916,0.99890197,0.99985914
372556785,1760144250,39x5PannBkvL2hkD4PQebbWLZj6K92Cu8EjvuRwQgdYsAhRth33cxDBLgyC5eCKBjA33vspRXRxNXnzjzzPTksct,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17156145.164654,11348668.908851,16892614.204365,11612197.213234,6,6,0.99949027,0.99979876,0.99888728,0.99986037
372556707,1760144219,2ji3211jYXPnKYdtCdQ7hBw1aX1wegaozBmdb7sRXPLpTmxgBDafLPbdPidt66kvozbu8ucxvH9nXjSHqkeGGxKP,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17156187.901265,11348626.173181,17156145.164654,11348668.908851,6,6,0.99947445,0.99979398,0.99888117,0.99986096
372556445,1760144115,5iLfnhZkMUdUeFL4X7YL7SK8JjoJbYhyY1oa28A9e9uE9kHqy3gBCZMTUe1fBHLHMEQLAmTWsmdqWZJbs2sYQxnH,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17156142.848867,11348671.215575,17156187.901265,11348626.173181,6,6,0.99946201,0.99980552,0.99885967,0.9998629
372556232,1760144031,4Xf3e5R5Kxw6apK8LGmU2NKPWFy3Dx3qkNs6ruYyt6AtBahdMp56HBVVx7HYf6XPBNF566eprzFEsRRL5MzYzuB1,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,2633.636688,11348767.490335,2633.636688,11348671.215575,6,6,0.99939826,0.9998019,0.9988418,0.99986451
372556219,1760144026,3GJ2eScCTjWmHCmLdh1gzWAp4pCCy9d5JWQCQ6HBZ95ZVk1otiop52bnGpy1sA1pw63ukJbLeDpmtDRNDturbGde,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17146546.31427,11358365.363099,17156146.31427,11348767.490335,6,6,0.99944163,0.99980156,0.9988409,0.9998645700000001
372556187,1760144014,3EBtyYdY2WACadrvsv5jARTFDRwos79vddz7fMmikTdMiYzAvjWno43YikDazH9FW7YmGXnkNvsfAS7UXbNTxiQo,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17146541.385109,11358370.291169,17146546.31427,11358365.363099,6,6,0.9994994700000001,0.99979947,0.99883837,0.9998647700000001
372556004,1760143941,25Dh21HpRSU4t3AhRZmG1v2Ekqr2WhAo4k6hdk2LJxcYqpxnsfmZSoGGCgEDtWrwtLyBw9sS5buNbDTK7oEoHCx8,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17146538.536258,11358373.139389,17146541.385109,11358370.291169,6,6,0.99956639,0.9998006500000001,0.99882132,0.99986631
372555870,1760143888,3QwjaULaMJbSFntPBLUDhrjayVy2Lx1UmYPK8YFD3cWSzZ5fXCoSMYdsuaYaBh6CfAzw2H3yksT8xXGnpTes7Ss5,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17236240.79995,11268673.139389,17146538.536258,11358373.139389,6,6,0.99958586,0.99979692,0.99880831,0.99986734
372555701,1760143820,hqVbbBYQ7K857ehKfZ5g4vi2RHPDWvJuwgXipzNAZVc7g7hAYfFWdf4R6AkU4xZ5Q5GCJHpHEc1c1b4NrczE6PX,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17218452.226157,11286457.648788,17236240.79995,11268673.139389,6,6,0.99952317,0.99979708,0.99879112,0.99986887
372555667,1760143807,4Z8zJhYz6pkZ3eM3jhzazZVqAaVi3NE1y87jmHpVnWPUxYoXbxxvXxpMqs9oxUuRypCePhzuRWqaoFK3R51w6wQN,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17218456.672458,11286453.202609,17218452.226157,11286457.648788,6,6,0.99950245,0.9997998100000001,0.99878789,0.9998691200000001
372555640,1760143796,9znyd9qbyct6weaEXDQoQC3jm5Z3y7ge7oCTqw6UovgjGPz4xR71vCnANDBUgJuMJWW5hyQXsWXm4cjBeTYS7NM,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17203674.61818,11301231.901268,17218456.672458,11286453.202609,6,6,0.99957098,0.99979996,0.99878529,0.99986934
372555587,1760143775,4eqnrWsm4w6zifgjAxyyvPZXi1q79FZCLttJXkfQ3WJVxpQLqTadeWC68vGhzXkZMcjPshU3yXQ415SzVuUb5t24,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17649895.411834,10855031.901268,17203674.61818,11301231.901268,6,6,0.99951172,0.9997991900000001,0.99877976,0.9998698500000001
372555558,1760143764,4n9Kx52Eun4qEK6CEqghrTRMuxBsN2Ds4BZ2D1hKooaEc76F2gd4xNwyNYiaLyxDL68NSEyHbkg28FStJtScJo4c,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17743052.032915,10761881.901268,17649895.411834,10855031.901268,6,6,0.99962903,0.99979682,0.99877686,0.9998701
372555508,1760143745,44JszHGPPd6hG9AV6GuacaKwd8GQDFn1Ysb4roN6erz1prBaLzeqe5WibnHZfMCMyD59VDNiycoAUx862UhWaH7p,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17743035.151476,10761898.778059,17743052.032915,10761881.901268,6,6,0.99957332,0.99980203,0.99877168,0.9998705
372555455,1760143723,4cDuxMA6k4MqWCdejMDiwmRh2MYyxGbneGzefDohZK9szgjLGh63iDm8YDYP1DSt9EgUY1bpjyH4KhdUN8TRGvhs,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,17743038.225653,10761895.704112,17743035.151476,10761898.778059,6,6,0.99958134,0.99979907,0.9987656300000001,0.99987102
372555423,1760143711,4zowEUkhKWWekatzjAjnrZSzyFDESTR4jzgEjNRhuX838LHLnkNVhToNSvX35WfmcZ4FkzSQjkvd4VzAdyLE7xMW,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,18286292.524131,10218695.704112,17743038.225653,10761895.704112,6,6,0.9996197,0.99980164,0.99876224,0.9998713100000001
372555350,1760143682,5cvNDFj77HeRi74LmDVr39uU9PAWWd2ayfpinE2zDbKUYVWT9z7vmhj599boRcZdH9EtCWajEMV6xeYr5b9FDPpJ,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,2633.636688,10218803.470242,2633.636688,10218695.704112,6,6,0.99965182,0.9998053100000001,0.99875427,0.99987212
372555225,1760143632,56e7dtCGkZZGsRWmy7Z9J6y3MZX3wPukMmhDcmUYRPMbgRHrqWncrMCJN97nWsBcHp4MBNx9ziyrE71UR2PmBqc8,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,18266295.957532,10238796.99709,18286295.957532,10218803.470242,6,6,0.9995328,0.9998031700000001,0.9987403300000001,0.99987335
372555223,1760143631,57esHmQus99qsHdhTreghh32rA6xvtmoirwTnPGX6tiEd3zkdYkitx84G5D4aqPFov5SwTHY3LwkpnQiix99rYri,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,18361758.092322,10143346.99709,18266295.957532,10238796.99709,6,6,0.99953001,0.99980322,0.99874007,0.99987338
372555199,1760143622,3Z4dSnRDcSnUTHpYWqDwHG1ocafTkU3DYGgC8oWE3WcJyKdZkugSro5x2ftMxe3uL4fKQ1VJ1UWkvVB3iotzT8er,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,18361737.286842,10143367.795674,18361758.092322,10143346.99709,6,6,0.99953327,0.99980538,0.99873753,0.99987362
372555187,1760143617,4EozQW1Ab9CAwsCN6xnJRTMVpuhLgwy8cpNEqunaBEKeKQeKTw6B2Q7mbFFvZhSMY4qKw1a4Z6Auy9LDZkh2Esct,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,18358422.55229,10146681.432189,18361737.286842,10143367.795674,6,6,0.99950544,0.9998077400000001,0.9987362000000001,0.99987375
372555164,1760143608,3JbEAzDi1cwFGXUeTfjLH5o1diPfhNi3jzQWMBjVgMmXrw7t3UGAW9kNbVnCe8J4FQm344DdKd8LonKJReh6WyTr,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,19037532.5385,9467681.432189,18358422.55229,10146681.432189,6,6,0.99951351,0.99980373,0.99873351,0.99987403
372555163,1760143607,3R8Qzwc6jtBJPYgBb8zMokAwT7cFcU7wqfV7N63mJD7YbpmdbKBCxGygDeYmbnVcq5ikbnREbJw4Du2iHzH2FXBK,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,19036040.907952,9469172.477046,19037532.5385,9467681.432189,6,6,0.99952283,0.99980784,0.99873339,0.99987404
